id,name,type,link,is_primary,student,lecture_id
stanford-cs221,Stanford CS221,video,https://www.youtube.com/watch?v=3pU-Hrz_xy4&list=PLoROMvodv4rOca_Ovz1DvdtWuz8BfSWL2&index=21,,,lec-adversarial-search
mit-6034,MIT 6.034,video,https://www.youtube.com/watch?v=STjW3eH0Cik,,,lec-adversarial-search
adversarial-search,Adversarial Search,video,https://stackabuse.com/minimax-and-alpha-beta-pruning-in-python/,,,lec-adversarial-search
1928-zur-theorie-der-gesellschaftsspiele-von-neumann,(1928) Zur Theorie der Gesellschaftsspiele (von Neumann),paper,https://link.springer.com/article/10.1007/BF01448847,,,lec-adversarial-search
1950-programming-a-computer-for-playing-chess-shannon,(1950) Programming a Computer for Playing Chess (Shannon),paper,https://link.springer.com/chapter/10.1007/978-1-4757-1968-0_1,,,lec-adversarial-search
1975-an-analysis-of-alphabeta-pruning-knuth-and-moore,(1975) An Analysis of Alpha-Beta Pruning (Knuth and Moore),paper,https://www.sciencedirect.com/science/article/pii/0004370275900193,,,lec-adversarial-search
minimax-algorithm-blog-post,Minimax Algorithm (Blog Post),blogpost,https://notes.bencuan.me/cs61b/algorithms/minimax/,,,lec-adversarial-search
tictactoe-understanding-the-minimax-algorithm,Tic-Tac-Toe: Understanding the Minimax Algorithm,blogpost,https://www.neverstopbuilding.com/blog/minimax,,,lec-adversarial-search
panopto,Panopto,video,https://notredame.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=a08df3ac-0172-4b89-b960-b352015c31e6,FALSE,,lec-adversarial-search
slides,Slides,reading,https://drive.google.com/file/d/1DzF9yr3hcR3xoNJRnNVGskvEXTwh_YV5/view?usp=sharing,FALSE,,lec-adversarial-search
logicalbased-artificial-intelligence-and-expert-systems,Logical-Based Artificial Intelligence and Expert Systems,blogpost,https://www.primaryobjects.com/2018/07/23/logical-based-artificial-intelligence-and-expert-systems/,TRUE,,lec-knowledge-representation-and-feature-engineering
harvard-cs50,Harvard CS50,video,https://www.youtube.com/watch?v=HWQLez87vqM,,,lec-knowledge-representation-and-feature-engineering
stanford-cs221,Stanford CS221,video,https://www.youtube.com/watch?v=RIk67yGMVv4&list=PLoROMvodv4rOca_Ovz1DvdtWuz8BfSWL2&index=44,,,lec-knowledge-representation-and-feature-engineering
foundations-of-computational-agents-chapters-5-15-and-16,"Foundations of Computational Agents - Chapters 5, 15, and 16",reading,https://artint.info/3e/html/ArtInt3e.Ch5.html,,,lec-knowledge-representation-and-feature-engineering
designing-an-artificial-intelligence-agent-to-navigate-a-world,Designing an Artificial Intelligence Agent to Navigate a World,blogpost,https://www.primaryobjects.com/2020/10/26/designing-an-artificial-intelligence-agent-to-navigate-a-world/,,,lec-knowledge-representation-and-feature-engineering
slides,Slides,reading,https://drive.google.com/file/d/1lPO80o2cwPmuqaqvJTpTQWo4UkCBKJPI/view?usp=sharing,,,lec-knowledge-representation-and-feature-engineering
fca-sections-72-and-731,FCA - Sections 7.2 and 7.3.1,reading,https://artint.info/3e/html/ArtInt3e.Ch7.S3.html,FALSE,,lec-decision-trees
