Section,Date,Topics,Resource Name,Type,Link
ML to DL,Mon 03/31,Gradient Descent and Backpropagation,D2L - Section 5.3,reading,https://d2l.ai/chapter_multilayer-perceptrons/backprop.html
ML to DL,Mon 03/31,Gradient Descent and Backpropagation,UML - Section 20.6,reading,https://www.cs.huji.ac.il/~shais/UnderstandingMachineLearning/copy.html
ML to DL,Mon 03/31,Gradient Descent and Backpropagation,Panopto,video,https://notredame.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=36c905b4-cbd9-4a0d-aa0c-b2b10162772b
ML to DL,Mon 03/31,Gradient Descent and Backpropagation,Harvard CS50 (16:00 - 39:00),video,https://www.youtube.com/watch?v=J1QD9hLDEDY
ML to DL,Mon 03/31,Gradient Descent and Backpropagation,Stanford CS221 - SGD,video,https://www.youtube.com/watch?v=bl2WgBLH0tI&list=PLoROMvodv4rOca_Ovz1DvdtWuz8BfSWL2&index=7
ML to DL,Mon 03/31,Gradient Descent and Backpropagation,Stanford CS221 - Backprop,video,https://www.youtube.com/watch?v=OcAF-l2xB9Y&list=PLoROMvodv4rOca_Ovz1DvdtWuz8BfSWL2&index=12
ML to DL,Mon 03/31,Gradient Descent and Backpropagation,MIT 6.034,video,https://www.youtube.com/watch?v=uXt8qF2Zzfo
ML to DL,Mon 03/31,Gradient Descent and Backpropagation,Numpy Backprop,notebook,https://colab.research.google.com/drive/1ogAx_Bqe80PsFzloNR7W0Ijd1YePNGVU?usp=sharing
ML to DL,Mon 03/31,Gradient Descent and Backpropagation,SGD (StatQuest),video,https://youtu.be/vMh0zPT0tLI?si=V4gwCG8HGbcQ6kX7
ML to DL,Mon 03/31,Gradient Descent and Backpropagation,Chain Rule (StatQuest),video,https://youtu.be/wl1myxrtQHQ?si=npy0cR-pfY5RIT5t
ML to DL,Mon 03/31,Gradient Descent and Backpropagation,Backprop (StatQuest),video,https://youtu.be/IN2XmBhILt4?si=9tYxD7DT3xvBuYGz
ML to DL,Mon 03/31,Gradient Descent and Backpropagation,Building Micograd (Karpathy),video,https://www.youtube.com/watch?v=VMj-3S1tku0
Midterm 02,Wed 04/02,Review,Panopto,video,https://notredame.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=6877fd1b-5dd1-4894-896e-b2b3016366a8
Foundations of Deep Learning,Wed 04/09,Convolutional Neural Networks,Slides,reading,https://docs.google.com/presentation/d/1VwAqIQRYTw_fMUnEQesaB_Fyk44SJJqy/edit?usp=sharing&ouid=111601855049772661603&rtpof=true&sd=true
Foundations of Deep Learning,Wed 04/09,Convolutional Neural Networks,FCA - Section 8.4,reading,https://artint.info/3e/html/ArtInt3e.Ch8.S4.html
Foundations of Deep Learning,Wed 04/09,Convolutional Neural Networks,PML - Chapter 14,reading,https://probml.github.io/pml-book/book1.html
Foundations of Deep Learning,Wed 04/09,Convolutional Neural Networks,ISLP - Section 10.3,reading,https://www.statlearning.com/
Foundations of Deep Learning,Wed 04/09,Convolutional Neural Networks,D2L - Chapters 7 and 8,reading,https://d2l.ai/chapter_convolutional-neural-networks/index.html
Foundations of Deep Learning,Wed 04/09,Convolutional Neural Networks,Panopto,video,
Foundations of Deep Learning,Wed 04/09,Convolutional Neural Networks,Harvard CS50 (53:00 - 1:27:12),video,https://www.youtube.com/watch?v=J1QD9hLDEDY
Foundations of Deep Learning,Wed 04/09,Convolutional Neural Networks,MNIST CNN,notebook,https://colab.research.google.com/drive/1yYw7SwTl5Q5F_gFLfjEWwW328v3SbPB0?usp=sharing
Foundations of Deep Learning,Wed 04/09,Convolutional Neural Networks,CNNs (StatQuest),video,https://youtu.be/HGwBXDKFk9I?si=5k2GTtevGNxIMEXQ
Foundations of Deep Learning,Wed 04/09,Convolutional Neural Networks,Convolution (3b1b),video,https://youtu.be/KuXjwB4LzSA?si=ulXCDjK3Qd2WZOc0
Foundations of Deep Learning,Wed 04/09,Convolutional Neural Networks,Convolution 2 (3b1b),video,https://www.youtube.com/watch?v=8rrHTtUzyZA
Foundations of Deep Learning,Wed 04/09,Convolutional Neural Networks,CNNs (HdM),reading,https://hannibunny.github.io/mlbook/neuralnetworks/03ConvolutionNeuralNetworks.html
Foundations of Deep Learning,Mon 04/14,Recurrent Neural Networks,Slides,reading,https://docs.google.com/presentation/d/1PTVKf1WqOO8i0ERlykTnSDb-NdkctqqY/edit?usp=sharing&ouid=111601855049772661603&rtpof=true&sd=true
Foundations of Deep Learning,Mon 04/14,Recurrent Neural Networks,FCA - Section 8.5 until 8.5.4,reading,https://artint.info/3e/html/ArtInt3e.Ch8.S5.html
Foundations of Deep Learning,Mon 04/14,Recurrent Neural Networks,PML - Section 15.2,reading,https://probml.github.io/pml-book/book1.html
Foundations of Deep Learning,Mon 04/14,Recurrent Neural Networks,ISLP - Section 10.5,reading,https://www.statlearning.com/
Foundations of Deep Learning,Mon 04/14,Recurrent Neural Networks,D2L - Chapters 9 and 10,reading,https://d2l.ai/chapter_recurrent-neural-networks/index.html
Foundations of Deep Learning,Mon 04/14,Recurrent Neural Networks,Harvard CS50 (1:27:00 - end),video,https://www.youtube.com/watch?v=J1QD9hLDEDY
Foundations of Deep Learning,Mon 04/14,Recurrent Neural Networks,Character-Level LSTM,notebook,https://colab.research.google.com/drive/1soMewNR1oVJvznbfa6oI1PUnKeblZdRc?usp=sharing
Foundations of Deep Learning,Mon 04/14,Recurrent Neural Networks,RNNs (StatQuest),video,https://youtu.be/AsNTP8Kwu80?si=Dm7SlTxtLYedMi7R
Foundations of Deep Learning,Mon 04/14,Recurrent Neural Networks,LSTMs (StatQuest),video,https://youtu.be/YCzL96nL7j0?si=cy5A4boGNLkMu6os
Modern Deep Learning,Wed 04/16,Self-Attention and Transformers,Slides,reading,https://docs.google.com/presentation/d/1VV1kUnmtvqS_oNtW5t7TWA7s5Hn6hiqU/edit?usp=sharing&ouid=111601855049772661603&rtpof=true&sd=true
Modern Deep Learning,Wed 04/16,Self-Attention and Transformers,FCA - Section 8.5.4,reading,https://artint.info/3e/html/ArtInt3e.Ch8.S5.html
Modern Deep Learning,Wed 04/16,Self-Attention and Transformers,PML - Section 15.4,reading,https://probml.github.io/pml-book/book1.html
Modern Deep Learning,Wed 04/16,Self-Attention and Transformers,D2L - Sections 11.1 through 11.6,reading,https://d2l.ai/chapter_attention-mechanisms-and-transformers/index.html
Modern Deep Learning,Wed 04/16,Self-Attention and Transformers,Panopto,video,
Modern Deep Learning,Wed 04/16,Self-Attention and Transformers,Harvard CS50 (35:40 - 54:15),video,https://www.youtube.com/watch?v=QAZc9xsQNjQ
Modern Deep Learning,Wed 04/16,Self-Attention and Transformers,3b1b,video,https://www.youtube.com/watch?v=eMlx5fFNoYc
Modern Deep Learning,Wed 04/16,Self-Attention and Transformers,Simple Self-Attention,notebook,https://colab.research.google.com/drive/1zrnOd6wE57gefw9VJMFDD_9LTzeng9D8?usp=sharing
Modern Deep Learning,Wed 04/16,Self-Attention and Transformers,Attention (StatQuest),video,https://youtu.be/PSs6nxngL6k?si=gfuV6LQqtS0jDxQc
Modern Deep Learning,Wed 04/16,Self-Attention and Transformers,Matrix Math (StatQuest),video,https://youtu.be/KphmOJnLAdI?si=dkXEgyn5ImhMdDnD
Modern Deep Learning,Wed 04/16,Self-Attention and Transformers,Attention (HdM),reading,https://hannibunny.github.io/mlbook/transformer/attention.html
Modern Deep Learning,Wed 04/16,Self-Attention and Transformers,Attention (rasbt),notebook,https://github.com/rasbt/machine-learning-book/blob/main/ch16/ch16-part1-self-attention.ipynb
Modern Deep Learning,Wed 04/23,LLMs and Agents,Slides,reading,
Modern Deep Learning,Wed 04/23,LLMs and Agents,FCA - Section 8.5.5,reading,https://artint.info/3e/html/ArtInt3e.Ch8.S5.html
Modern Deep Learning,Wed 04/23,LLMs and Agents,PML - Section 15.5,reading,https://probml.github.io/pml-book/book1.html
Modern Deep Learning,Wed 04/23,LLMs and Agents,D2L - Section 11.7,reading,https://d2l.ai/chapter_attention-mechanisms-and-transformers/transformer.html
Modern Deep Learning,Wed 04/23,LLMs and Agents,Panopto,video,
Modern Deep Learning,Wed 04/23,LLMs and Agents,Harvard CS50 (54:15 - end),video,https://www.youtube.com/watch?v=QAZc9xsQNjQ
Modern Deep Learning,Wed 04/23,LLMs and Agents,3b1b,video,https://www.youtube.com/watch?v=wjZofJX0v4M
Modern Deep Learning,Wed 04/23,LLMs and Agents,Cornell CS4780,video,https://youtu.be/Nu7VZeW5TaE?si=VvFyOFVWecFkuuSX
Modern Deep Learning,Wed 04/23,LLMs and Agents,Transformers (StatQuest),video,https://youtu.be/zxQyTK8quyY?si=TfF6rH36dN7WcZdN
Modern Deep Learning,Mon 04/28,Diffusion Models,Slides,reading,
Modern Deep Learning,Mon 04/28,Diffusion Models,FCA - Section 8.6.3,reading,https://artint.info/3e/html/ArtInt3e.Ch8.S6.html
Modern Deep Learning,Mon 04/28,Diffusion Models,Diffusion Models,video,https://www.youtube.com/watch?v=1pgiu--4W3I
Modern Deep Learning,Mon 04/28,Diffusion Models,Simple Diffusion Model,notebook,https://colab.research.google.com/drive/1H3ztaNIIsshhPQx3j5oTQ8lGwvgsWDGz?usp=sharing
Modern Deep Learning,Wed 04/30,Reinforcement Learning,Slides,reading,
Modern Deep Learning,Wed 04/30,Reinforcement Learning,FCA - Chapter 13,reading,https://artint.info/3e/html/ArtInt3e.Ch13.html
Modern Deep Learning,Wed 04/30,Reinforcement Learning,D2L - Chapter 17,reading,https://d2l.ai/chapter_reinforcement-learning/index.html
Modern Deep Learning,Wed 04/30,Reinforcement Learning,Panopto,video,
Modern Deep Learning,Wed 04/30,Reinforcement Learning,Harvard CS50 (1:09:57 - 1:38:24),video,https://www.youtube.com/watch?v=-g0iJjnO2_w&t=4197s
Modern Deep Learning,Wed 04/30,Reinforcement Learning,Stanford CS221,video,https://www.youtube.com/watch?v=HpaHTfY52RQ&list=PLoROMvodv4rOca_Ovz1DvdtWuz8BfSWL2&index=20
Modern Deep Learning,Wed 04/30,Reinforcement Learning,RL Lunar Lander,notebook,https://colab.research.google.com/drive/1WtcWFv57EBsRTlk1_Zl0ammBHO1iG1LM?usp=sharing
